input_ingredients,top_k,top_p,temperature,recipe
"chicken, garlic, onion, spices",50,0.8,0.8,"chicken, garlic, onion, spices and spices to taste"", ""1 lb. fresh ground beef"", ""1 c. water"", ""1/2 c. chopped onions"", ""1/2 c. chopped celery"", ""1/2 c. chopped bell pepper"", ""1/2 c. chopped celery"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped red pepper"", ""1/2 c. chopped green pepper"", ""1/2 c. chopped red onion"", ""1/2 c. chopped cheddar cheese"", ""2 c. cooked, chopped chicken"", ""1/2 c. shredded Cheddar cheese"", ""1 Tbsp. chopped parsley"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1 Tbsp. chopped green pepper""] [""Brown ground beef in large skillet. "", """
"chicken, garlic, onion, spices",50,0.8,1.0,"chicken, garlic, onion, spices and chili seasoning"", ""2 Tbsp. margarine"", ""1 lb. ground beef, cut up"", ""2 Tbsp. butter"", ""2 tsp. dried oregano"", ""1/2 tsp. dried basil"", ""1/2 tsp. salt"", ""1/4 tsp. pepper"", ""1 c. cubed ground beef"", ""1 c. cooked rice"", ""1 c. grated cheese"", ""1 c. shredded cheese"", ""1/2 c. shredded Cheddar cheese""] [""Brown chicken in margarine; drain off fat. "", ""Add beef, salt, oregano, basil and garlic. "", ""Blend well. "", ""Stir in flour, salt, pepper, salt and 1/4 cup cubed ground beef. "", ""Mix well. "", ""Stir in rice, cheese and cheese. "", ""Pour into greased casserole. "", ""Bake at 350\u00b0 for 30"
"chicken, garlic, onion, spices",50,0.9,0.7,"chicken, garlic, onion, spices and spices (your choice)"", ""3/4 c. mayonnaise"", ""1/4 c. brown sugar"", ""1/2 c. lemon juice"", ""1/2 c. mayonnaise"", ""1 tsp. salt"", ""1/2 c. brown sugar"", ""1/2 c. vinegar"", ""1/2 c. oil"", ""2 eggs"", ""1/2 tsp. ground cinnamon"", ""1/2 tsp. ground cloves"", ""1/2 tsp. ground ginger"", ""1/2 tsp. ground nutmeg""] [""Mix all ingredients together. "", ""Pour into large salad bowl. "", ""Mix well. "", ""Cover and refrigerate. ""] [""Drain. "", ""Makes 3 servings. ""] [""Mix all ingredients together. "", ""Pour into salad bowl. "", ""Makes 4 servings. ""] [""Make 4 servings. ""] [""Serves 4 to 6. ""] [""Great for salad parties. """
"chicken, garlic, onion, spices",50,0.9,0.8,"chicken, garlic, onion, spices"", ""1 1/2 c. water"", ""3 c. cooked noodles (3 medium)"", ""1 can cream of mushroom soup"", ""2 c. shredded Mozzarella cheese"", ""2 c. shredded American cheese"", ""1 c. Bisquick"", ""1/4 c. milk"", ""1/2 tsp. salt"", ""1/2 tsp. pepper""] [""Preheat oven to 375\u00b0. "", ""In large bowl, mix water, noodles, soup and milk. "", ""In medium bowl, stir together cheese, milk and salt. "", ""Gradually stir into hot mixture. "", ""Cook for 15 minutes. Stir in Bisquick. "", ""Pour into 9 x 5-inch baking dish. "", ""Sprinkle with pepper. "", ""Bake 10 minutes. "", ""Sprinkle with grated cheese. "", ""Cover with aluminum foil and bake 15 minutes longer. ""] [""Makes 6 servings. ""] [""Makes 12 to 15"
"chicken, garlic, onion, spices",50,0.9,1.0,"chicken, garlic, onion, spices and salt"", ""1 large jar spaghetti sauce"", ""1 large can tomatoes"", ""1 small can tomatoes"", ""1 small can water"", ""1 small can mushrooms"", ""salt and pepper to taste"", ""Parmesan cheese""] [""Mix all ingredients well and add Parmesan cheese to taste. ""] [""Bake in a 13 x 9 x 2-inch oven at 350\u00b0 for about 45 to 60 minutes. ""] ""Serve with Cheddar cheese and shredded cheese. ""] [""Brown a large amount of Parmesan cheese in a skillet on both sides of the stove. "", ""Pour sauce over this and top with your favorite chili sauce. ""] [""Place a slice of cheese on each end of a sandwich. ""] [""Bake for about 45 minutes. ""] ""Enjoy. ""] [""Makes 4 servings. ""] [""Makes 4 servings. ""] [""This recipe makes 4 servings. ""] [""Pour sauce over a spaghetti"
"chicken, garlic, onion, spices",50,0.95,0.7,"chicken, garlic, onion, spices and seasoning"", ""1 lb. hamburger meat"", ""1 can mushroom soup"", ""1 lb. tomato, chopped"", ""1 lb. Mozzarella cheese"", ""1 c. bread crumbs"", ""1 c. sharp Cheddar cheese, shredded""] [""Brown meat and drain grease. "", ""Heat soup and tomato over high heat; add hamburger meat, tomato and cheese. "", ""Stir until smooth. "", ""Heat oven to 350\u00b0. "", ""Pour over meat. "", ""Place in 9 x 13-inch baking dish. "", ""Sprinkle with bread crumbs. "", ""Bake for 30 to 35 minutes or until meat is done. "", ""Serves 4. ""] [""Makes 6 servings. ""] [""Combine Mozzarella cheese and bread crumbs; pour over meat. "", ""Cover and bake for 1 hour. ""] [""Bake for 30 minutes longer. ""] [""Bake 15 minutes longer. ""] ""Makes"
"chicken, garlic, onion, spices",50,0.95,0.8,"chicken, garlic, onion, spices and spices"", ""6 c. water"", ""1 small bottle ketchup"", ""1 can cream of mushroom soup"", ""1/2 c. diced celery"", ""1/4 c. chopped green pepper"", ""1/2 c. sliced, hard-boiled eggs"", ""salt to taste""] [""Cook chicken in water until tender. "", ""Remove chicken and bones. "", ""Put in a 2-quart casserole. "", ""Add the spices and spices to casserole. "", ""Add the soup and chicken. "", ""Add the eggs and cook until thick. ""] [""Mix the ketchup, soup, celery, onion, celery, green pepper and eggs together. Pour into the casserole and bake for 1 hour in 350\u00b0 oven. ""] [""In a small bowl, blend the soup and the egg mixture. "", ""Pour over chicken mixture and bake, uncovered, in a slow oven for 15 minutes"
"chicken, garlic, onion, spices",50,0.95,1.0,"chicken, garlic, onion, spices and poultry seasoning"", ""1 (28 oz. ) can shrimp (dry)"", ""1 1/2 c. water"", ""2 tsp. oregano"", ""1/3 c. ketchup""] [""Mix all ingredients together in a pot and simmer 1 1/2 hours, covered. ""] [""Taste if necessary (I add 3 tablespoons ketchup. )""] [""Use 1 tablespoon ketchup to 2 tablespoons ketchup. ""] [""Bake at 350\u00b0 for 1 1/2 hours. ""] [""You will be able to make this sauce with the tomatoes (mushrooms, garlic, shrimp and chicken). ""] [""Can be made in a stew cooker on low heat. ""] [""Use 1/2 cup ketchup (on top). "", ""Use small amount of chicken broth to make sauce. ""] [""Serve hot. ""] [""You may cook it in small puffs on the stovetop with vegetables. ""] [""Y"
"chicken, garlic, onion, spices",100,0.8,0.7,"chicken, garlic, onion, spices, salt, pepper, cayenne pepper and garlic powder"", ""2 c. diced chicken"", ""1 can cream of chicken soup"", ""1/2 c. water"", ""1 (6 oz. ) can tomato sauce"", ""1 c. shredded Mozzarella cheese"", ""1 c. grated Parmesan cheese""] [""Mix all ingredients together. "", ""Bake in greased casserole at 350\u00b0 for 1 hour or until brown. ""] [""Bake at 350\u00b0 for 1 hour or until brown. ""] [""Makes 6 servings. ""] [""Bake at 350\u00b0 for 1 hour or until brown. ""] [""Can be made ahead and reheated. ""] [""You can use any of the following:"", ""Chicken, Cheddar, Cheddar cheese, Mozzarella, Parmesan cheese, or any other cheese you want. ""] [""Bake at 350\u"
"chicken, garlic, onion, spices",100,0.8,0.8,"chicken, garlic, onion, spices and herbs"", ""2 Tbsp. olive oil"", ""1 1/2 c. chicken broth"", ""1/2 c. water"", ""2 Tbsp. parsley, minced"", ""1/2 tsp. dried parsley flakes"", ""1/4 tsp. salt"", ""1/2 tsp. pepper"", ""1/4 tsp. oregano"", ""1/2 c. green chili peppers"", ""1 c. grated cheese""] [""In a large saucepan, combine oil, water, parsley, salt, pepper and oregano. "", ""Add chicken, stirring well. "", ""Cover and cook over low heat until chicken is tender, about 20 minutes. "", ""Add peppers, stirring to coat. "", ""Cover and cook, uncovered, for 15 minutes. "", ""Reduce heat and simmer 15 minutes or until pepper is tender. "", ""Add cheese and cook 1 minute longer, stirring occasionally. "", ""Makes 6 servings. ""]"
"chicken, garlic, onion, spices",100,0.8,1.0,"chicken, garlic, onion, spices and tomatoes"", ""1 can tomatoes"", ""1 jar pimentos"", ""1/2 can chicken broth"", ""1 can tomato soup"", ""1 can cream of mushroom soup"", ""1 can cream of celery soup"", ""1/2 c. water"", ""1/4 c. milk"", ""1/2 c. butter or margarine, melted""] [""Cook and stir together. "", ""Tear together, put in pan with tomato soup, broth, water, broth, milk and butter. "", ""Sprinkle on chicken. "", ""Bake at 350\u00b0 for 30 minutes or until done. ""] [""Brown meat and stir well. "", ""When cool and garnish with tomato sauce. ""] [""Yields 4 servings. ""] [""Mix ingredients together and cook on low heat until ingredients are smooth. "", ""Yields 6 servings. ""] [""Serves 6 to 8. ""] [""May be prepared the day before. ""]"
"chicken, garlic, onion, spices",100,0.9,0.7,"chicken, garlic, onion, spices and seasonings"", ""1/2 lb. small pkg. noodles, cooked and drained"", ""1 lb. ground beef"", ""1/2 lb. Velveeta cheese"", ""1/2 lb. Monterey Jack cheese"", ""1/2 lb. pkg. noodles, cooked and drained"", ""1/2 lb. Velveeta cheese"", ""1/2 lb. bacon, cooked and crumbled"", ""1/2 lb. chopped parsley"", ""1/2 lb. chopped green pepper"", ""1/2 lb. chopped bell pepper"", ""1/2 lb. chopped green onion"", ""1/2 lb. chopped green pepper"", ""1/2 lb. chopped celery"", ""1/4 lb. chopped celery"", ""1/4 lb. chopped pimento"", ""1/2 lb. sauerkraut"", ""1 lb. mushrooms"", ""1 lb. bacon"
"chicken, garlic, onion, spices",100,0.9,0.8,"chicken, garlic, onion, spices"", ""1/2 c. butter or margarine"", ""1/2 c. brown sugar"", ""1/4 tsp. garlic powder"", ""1/2 tsp. oregano"", ""1/4 tsp. paprika"", ""1/2 c. flour"", ""1 Tbsp. lemon juice"", ""1/2 c. vegetable oil"", ""1/2 c. chicken broth""] [""Mix all ingredients except broth. "", ""Shape into small balls and bake in a 400\u00b0 oven for 20 minutes. ""] [""Pour broth and oil over chicken. "", ""Cover with foil and bake 30 to 40 minutes. ""] [""Bake for 20 minutes. ""] [""Place balls in the broiler pan, cover with foil and bake 15 minutes. ""] ""Stir and serve. ""] [""Bake 15 minutes longer or until golden brown. ""] [""Drain well on paper towels. "", ""Makes 6 servings. ""]"
"chicken, garlic, onion, spices",100,0.9,1.0,"chicken, garlic, onion, spices, jalapeno peppers"", ""1 jar (10 oz. ) frozen diced tomatoes, drained"", ""2 Tbsp. mayonnaise"", ""1 c. sour cream"", ""salt and pepper to taste"", ""8 oz. Mozzarella cheese, shredded""] [""In large skillet, cook onion, garlic, jalapeno peppers and tomatoes in heavy skillet. "", ""Add sour cream. "", ""Combine mayonnaise, sour cream, peppers, tomatoes, Mozzarella and cheese. "", ""Season to taste. Heat thoroughly. ""] [""Put into 9 x 13-inch dish and cook 8 minutes on each side. "", ""Top with shredded Mozzarella cheese. "", ""Freeze for 3 hours before serving. ""] [""Yields 2 servings. ""] [""Preheat oven to 350\u00b0. "", ""Best if made on a double plate. ""] [""Yields 4 servings. ""] ""Can be prepared the day before. """
"chicken, garlic, onion, spices",100,0.95,0.7,"chicken, garlic, onion, spices and chopped green chilies"", ""2 c. rice, uncooked"", ""1 can cream of chicken soup"", ""1 lb. ground beef"", ""1 can beef gravy"", ""1 can mushroom soup"", ""1 lb. hot cooked rice""] [""Cook rice, ground beef and ground beef. "", ""Mix with rice and mushroom soup. "", ""Add 1/2 cup of water and mix with rice mixture. "", ""Put in a casserole dish and top with 1/2 cup of rice mixture. ""] ""Bake at 350\u00b0 for 30 minutes. "", ""Turn out on top of rice mixture and bake until brown. ""] [""Serves 6 to 8. ""] ""Great dish for parties. ""] [""Bake at 350\u00b0 for 45 minutes. ""] ""Serves 6 to 8. ""] ""Can be made ahead of time. Makes 4 to 5 servings. ""] [""Use a large frying pan. ""] """
"chicken, garlic, onion, spices",100,0.95,0.8,"chicken, garlic, onion, spices, basil, thyme, garlic and pepper"", ""1 c. flour"", ""1/2 c. oil"", ""1 c. sugar"", ""1 tsp. salt"", ""1 tsp. basil"", ""1 tsp. dry mustard""] [""Mix ingredients and roll in balls. "", ""Serve in a bowl with basil and sugar. ""] [""Bake in a 13 x 9 x 2-inch pan at 375\u00b0 for 1 hour. "", ""Serve with:"", ""Parmesan cheese, chicken pieces or chicken broth or turkey breast. ""] [""Serve with:"", ""Bour of chicken or turkey. "", ""Great with:"", ""Italian bread, Italian bread, hamburger, spaghetti or French bread. "", ""Serves 4. ""] [""A must for:"", ""Pizza, chicken soup, hamburger, spaghetti, bread or bread. "", ""Excellent with:"", ""Italian bread, hamburger or spaghetti. "", """
"chicken, garlic, onion, spices",100,0.95,1.0,"chicken, garlic, onion, spices and spices"", ""salt"", ""1 c. chicken broth"", ""1 c. water"", ""1 c. Bisquick"", ""1 c. salad oil""] [""Put chicken in baking pan. "", ""Sprinkle with salt and cover. "", ""Heat mixture in a large skillet. "", ""Add Bisquick and cook on low heat (do not cook for too long). "", ""Cook 4 to 5 minutes on all sides. ""] ""Add broth mixture and water. "", ""Heat gently, but quickly, to pour consistency. "", ""Serve with carrots and salad oil. ""] [""Wash chicken, cut it loose and add liquid to be sure. "", ""Add steak, meat, liquid and bay leaves. ""] ""Saute until tender, stirring occasionally. ""] [""In a glass pan, saute meat and sauce on high heat. Add bouillon to flavor. "", ""When heated, pour drippings over meat and serve with vegetables. ""] ""Serves 6 to"
